pincode,city,avg_rainfall,heavy_rain_days,avg_wind_speed,avg_pressure,storm_days,avg_aqi,disruption_frequency_score,cluster,zone_risk_tier
859782,Lucknow,-6.8,1,17.48,1013.44,0,60.23,0.2815907818615372,0,1
868677,Kolkata,15.86,1,12.13,1010.91,0,60.44,0.2825113929609971,0,1
377319,Lucknow,1.64,0,11.82,1011.9,2,59.86,0.2829118707867702,0,1
465004,Hyderabad,11.86,0,11.28,1013.48,2,59.93,0.2832363308559886,0,1
631219,Bengaluru,1.03,0,19.49,1011.51,2,59.98,0.2834716092380615,0,1
283594,Pune,-1.86,0,20.98,1008.46,0,62.16,0.2843135697002254,0,1
589368,Lucknow,2.57,0,14.33,1006.94,0,62.21,0.284545466795634,0,1
301224,Hyderabad,4.43,0,15.25,1009.67,0,62.4,0.2853853833488664,0,1
725637,Delhi,-0.16,0,14.47,1008.78,0,62.43,0.2855534672091848,0,1
223264,Pune,-13.89,0,13.71,1004.73,0,62.55,0.2860998743695159,0,1
622605,Kolkata,-0.3,4,14.91,1010.98,0,57.31,0.2865305999579512,0,1
721497,Delhi,-15.56,0,16.42,1009.45,2,60.71,0.2868237060948181,0,1
817897,Bengaluru,6.62,0,20.57,1004.38,1,61.77,0.2870731174078121,0,1
331241,Pune,-7.24,0,14.36,1006.46,2,60.84,0.2873886953542998,0,1
195513,Hyderabad,-16.65,0,16.8,1012.21,0,62.84,0.2873923503776827,0,1
761759,Bengaluru,-5.15,0,18.56,1016.54,0,62.99,0.2880841911783754,0,1
961501,Hyderabad,-6.72,0,10.75,1009.38,3,60.05,0.2883631553486978,0,1
352528,Pune,2.69,3,17.6,1011.02,1,58.35,0.2897550351373673,0,1
534303,Bengaluru,17.98,0,19.99,1013.68,3,60.58,0.2908132273520168,0,1
770153,Kolkata,5.77,0,8.72,1007.22,0,63.65,0.2911160842384562,0,1
959324,Lucknow,4.59,0,10.66,1013.94,0,63.68,0.2912627084441758,0,1
748985,Delhi,-5.66,0,12.24,1009.7,0,63.7,0.2913416317308658,0,1
720515,Delhi,-6.83,2,14.19,1008.76,0,61.08,0.2915434345380612,0,1
775960,Jaipur,5.94,0,13.94,1009.59,1,62.81,0.2918564651146601,0,1
740255,Pune,8.67,0,22.3,1006.68,0,63.83,0.291921608585347,0,1
162448,Delhi,3.47,3,12.28,1005.08,0,59.83,0.2919257975385232,0,1
467121,Delhi,2.87,0,17.85,1004.91,0,63.9,0.2922494426467018,0,1
657381,Pune,-3.56,5,12.5,1007.19,0,57.26,0.2923893523936234,0,1
558176,Pune,2.82,0,19.22,1010.57,3,60.93,0.2924115265662647,0,1
904150,Hyderabad,-8.64,0,14.64,1004.19,0,63.95,0.2925068763892741,0,1
299312,Hyderabad,11.39,0,13.87,1008.19,0,64.03,0.2928607361921729,0,1
278593,Hyderabad,-11.59,0,11.04,1006.82,0,64.15,0.293379234460897,0,1
108874,Delhi,-13.48,5,13.35,1007.24,0,57.52,0.2935535412030418,0,1
553125,Bengaluru,-4.64,1,22.43,1009.43,0,63.01,0.294295787851364,0,1
351516,Hyderabad,25.71,0,11.64,1006.62,0,64.43,0.294696210618085,0,1
110048,Delhi,-4.85,0,15.25,1009.95,0,64.61,0.2954875956895372,0,1
459536,Lucknow,26.42,2,16.97,1007.9,0,62.03,0.2958998769944343,0,1
810614,Bengaluru,11.72,0,14.31,1015.22,0,64.71,0.2959563980973866,0,1
558737,Hyderabad,2.67,2,12.78,1014.39,0,62.09,0.2961572691410386,0,1
416232,Delhi,18.26,5,20.34,1009.61,1,57.33,0.2972540531008878,0,1
639131,Jaipur,7.75,3,13.71,1009.49,2,59.0,0.2972947053253253,0,1
957525,Bengaluru,11.97,0,18.39,1012.16,0,65.15,0.2979724976944364,0,1
424008,Jaipur,15.91,1,15.15,1008.89,0,63.82,0.2980039156560888,0,1
745533,Pune,8.12,0,18.15,1009.12,0,65.2,0.2982173041237655,0,1
785424,Lucknow,-6.33,0,19.36,1001.72,0,65.24,0.2983747606476584,0,1
169268,Pune,-22.99,3,17.1,1014.84,0,61.26,0.2984596602980305,0,1
651963,Kolkata,23.79,3,11.9,1005.26,0,61.35,0.2988741390461952,0,1
648141,Jaipur,1.76,0,14.03,1005.92,0,65.38,0.299047384449906,0,1
498138,Bengaluru,13.21,0,12.62,1009.87,2,63.38,0.2990481190690724,0,1
892170,Jaipur,-2.31,3,19.44,1007.87,4,57.43,0.2992667290186667,0,1
663483,Delhi,6.16,0,10.92,1006.94,0,65.51,0.2996069824526574,0,1
459731,Bengaluru,4.36,3,15.71,1010.47,1,60.59,0.30000611640958,0,1
409030,Pune,-8.72,0,15.72,1009.0,2,63.67,0.300334046173885,0,1
108887,Lucknow,6.71,0,15.27,1004.78,1,64.68,0.3003900637500604,0,1
267666,Jaipur,15.99,1,14.49,1004.45,0,64.41,0.3006928799280257,0,1
428838,Bengaluru,-4.43,0,13.57,1009.72,0,65.81,0.3010114241957936,0,1
588461,Pune,-7.75,0,18.86,1010.04,0,65.89,0.3013605106112644,0,1
246802,Delhi,3.36,0,16.84,1009.2,0,65.95,0.3016558569323733,0,1
849747,Hyderabad,-5.21,1,15.19,1016.71,0,64.63,0.3017087344115287,0,1
921874,Hyderabad,-8.02,4,11.53,1010.25,0,60.64,0.3017422000901033,0,1
847362,Kolkata,0.65,4,11.22,1007.79,1,59.65,0.3018078917506216,0,1
311895,Lucknow,4.43,5,11.6,1006.64,0,59.33,0.3018376561042605,0,1
219565,Hyderabad,8.72,0,11.76,1009.41,0,66.05,0.3020898999034045,0,1
662275,Jaipur,1.58,0,17.89,1008.34,3,63.1,0.3023290521435194,0,1
658623,Delhi,10.84,3,11.34,1011.31,0,62.12,0.302406130507608,0,1
600590,Lucknow,14.38,0,8.88,1005.79,0,66.14,0.3025240452740547,0,1
757658,Pune,13.66,0,17.15,1007.75,0,66.16,0.302590572661511,0,1
432043,Hyderabad,5.27,3,12.16,1010.45,0,62.23,0.3029128211497627,0,1
839142,Bengaluru,-3.82,0,12.47,1013.19,1,65.24,0.3029431382348331,0,1
224870,Pune,4.91,0,13.79,1013.13,1,65.47,0.3039902354943639,0,1
835962,Pune,-4.65,0,22.24,1009.48,1,65.48,0.3040473179523666,0,1
423528,Hyderabad,-11.1,0,15.17,1007.39,0,66.48,0.304050193920574,0,1
196126,Pune,2.14,0,20.23,1010.08,2,64.55,0.3043718478709442,0,1
390119,Kolkata,14.73,0,11.71,1008.24,0,66.59,0.304556196128859,0,1
596249,Pune,9.36,0,14.43,1009.58,0,66.77,0.3053773427331759,0,1
808640,Delhi,17.86,5,15.25,1004.52,1,59.17,0.3056875546722978,0,1
865979,Hyderabad,2.74,0,12.92,1005.61,0,67.19,0.3073183621295342,0,1
431067,Pune,-2.17,2,11.64,1014.37,0,64.57,0.3075288314269109,0,1
783501,Lucknow,-0.74,5,14.75,1004.45,1,59.57,0.307534117661819,0,1
286209,Lucknow,-11.15,0,14.99,1009.49,0,67.33,0.3079473346319714,0,1
238948,Pune,8.58,2,21.36,1010.73,2,62.67,0.307971961089269,0,1
542374,Delhi,15.73,0,7.88,1006.94,2,65.35,0.3080334596346597,0,1
277292,Pune,7.82,0,19.79,1011.48,0,67.41,0.3083341119437617,0,1
482614,Delhi,-3.9,0,14.43,1001.37,0,67.48,0.3086443633273436,0,1
448121,Delhi,3.31,5,14.56,1012.41,0,60.82,0.3086459441717575,0,1
116093,Lucknow,8.59,0,12.76,1005.02,1,66.52,0.3088296084276267,0,1
607993,Delhi,-4.27,0,18.38,1009.13,3,64.54,0.3089028172463859,0,1
675914,Lucknow,-0.82,3,16.96,1002.57,0,63.54,0.3089055111379498,0,1
173199,Delhi,-10.71,0,17.95,1008.44,0,67.6,0.3091988665048774,0,1
781664,Delhi,2.87,0,14.68,1006.5,0,67.61,0.3092442388836239,0,1
539450,Kolkata,-20.43,1,15.64,1007.15,0,66.37,0.3096760868266549,0,1
241268,Pune,15.91,0,18.37,1005.52,0,67.75,0.3098540247387564,0,1
556542,Hyderabad,4.46,0,11.73,1008.11,0,67.87,0.3104116991162838,0,1
579434,Jaipur,3.9,0,18.37,1009.9,0,67.88,0.3104397887374887,0,1
120053,Bengaluru,20.2,7,19.05,1011.79,0,58.75,0.3113779266403939,0,1
665158,Bengaluru,4.62,0,18.84,1010.96,0,68.11,0.3114949097655207,0,1
635482,Pune,18.82,0,13.25,1010.92,1,67.18,0.311854294502865,0,1
933592,Kolkata,13.12,7,10.81,1006.47,1,57.86,0.3119057950721238,0,1
645928,Delhi,-1.95,4,13.62,1011.33,0,62.87,0.3119268250079,0,1
624783,Pune,1.69,0,16.95,1013.37,4,64.21,0.311960291612992,0,1
162804,Lucknow,7.09,3,16.54,1008.25,0,64.22,0.3120368411318756,0,1
864201,Lucknow,10.33,3,15.8,1014.19,0,64.27,0.3122336060934814,0,1
157219,Hyderabad,1.22,0,19.05,1011.62,0,68.28,0.3123038811133024,0,1
133782,Delhi,-5.53,2,14.23,1009.65,0,65.7,0.3126946386388388,0,1
416302,Delhi,10.13,7,16.47,1006.03,1,58.04,0.3127011862684552,0,1
718831,Hyderabad,8.66,3,18.25,1006.77,0,64.38,0.3127551598953187,0,1
383060,Jaipur,11.47,1,7.97,1015.69,0,67.09,0.3129558340976435,0,1
403528,Lucknow,-4.47,1,13.01,1010.73,0,67.1,0.3129832378241792,0,1
671971,Hyderabad,-12.69,1,12.61,1006.41,0,67.15,0.3132036604103247,0,1
456637,Jaipur,3.92,1,15.53,1013.47,3,64.18,0.3133664623257258,0,1
284888,Bengaluru,12.81,0,13.36,1011.3,0,68.55,0.3135415241654234,0,1
970127,Jaipur,-17.37,0,15.01,1009.95,1,67.58,0.3136475342623721,0,1
956375,Bengaluru,-5.29,2,15.31,1006.15,1,64.93,0.3137174026526828,0,1
899550,Pune,2.74,0,14.81,1011.4,0,68.67,0.314088492494027,0,1
292811,Lucknow,0.44,0,13.44,1010.22,0,68.73,0.3143432268408787,0,1
230394,Delhi,24.13,0,17.35,1003.83,0,68.74,0.3144147182621309,0,1
828361,Hyderabad,-5.85,0,19.39,1007.14,3,65.77,0.3145240823137289,0,1
539740,Pune,2.68,0,15.34,1009.92,0,68.98,0.3154879085090765,0,1
158760,Pune,12.3,4,17.05,1007.75,0,63.76,0.3160121597468177,0,1
760021,Bengaluru,-7.58,1,20.43,1006.86,0,67.78,0.3161027391076046,0,1
147440,Delhi,-21.5,1,12.72,1007.03,0,67.81,0.3162361401559822,0,1
201913,Pune,-0.91,2,18.05,1011.35,0,66.48,0.3162694895331974,0,1
137285,Delhi,-8.98,6,16.15,1008.23,1,60.18,0.3164290315131275,0,1
921533,Bengaluru,16.48,0,20.6,1008.17,2,67.2,0.3164890851149632,0,1
390946,Delhi,-5.22,0,15.66,1005.94,0,69.26,0.3167804226310642,0,1
776364,Delhi,-5.08,0,13.33,1011.28,1,68.32,0.317059235817061,0,1
630458,Jaipur,4.39,0,16.62,1008.51,0,69.35,0.3171842769222638,0,1
572387,Lucknow,-2.33,0,14.51,1011.0,1,68.42,0.3174883899847894,0,1
547181,Pune,-8.73,0,14.34,1006.67,2,67.42,0.3175006158619631,0,1
214351,Jaipur,-0.05,0,16.22,1008.29,2,67.46,0.3176892772645612,0,1
152796,Jaipur,1.27,3,16.7,1013.0,1,64.69,0.3187601409859161,0,1
359778,Pune,11.59,0,19.23,1011.18,1,68.84,0.3194049299452106,0,1
906066,Kolkata,12.21,4,11.32,1008.14,1,63.52,0.3194724694931419,0,1
956113,Bengaluru,-1.51,2,20.36,1011.23,1,66.22,0.3196495836161562,0,1
577463,Lucknow,16.04,1,12.96,1002.55,1,67.57,0.3197199551657775,0,1
759104,Hyderabad,-0.63,0,17.42,1010.91,1,68.91,0.3197319273321436,0,1
697062,Delhi,5.11,0,14.92,1010.92,1,68.92,0.3197980780501835,0,1
262656,Delhi,-2.88,0,14.79,1013.13,0,69.93,0.3198290007057687,0,1
516716,Chennai,22.09,6,13.67,1010.97,2,59.93,0.3198348038415914,0,1
221620,Bengaluru,-2.85,0,18.53,1010.84,1,68.98,0.3200455454851534,0,1
667036,Lucknow,10.17,0,18.53,1003.79,0,70.0,0.3201802220305229,0,1
362552,Bengaluru,10.42,0,14.41,1006.37,0,70.03,0.3202970463238047,0,1
579187,Lucknow,-14.52,0,16.78,1015.69,0,70.03,0.3203059746323862,0,1
369452,Pune,7.29,1,18.93,1003.23,3,65.74,0.3205107458417321,0,1
393964,Jaipur,7.15,0,15.09,1005.12,0,70.2,0.3210762759885044,0,1
119676,Bengaluru,2.51,4,22.63,1015.52,0,64.93,0.3213716727008181,0,1
862736,Ahmedabad,8.75,1,10.15,1009.96,1,67.94,0.3213976424185996,0,1
459316,Jaipur,6.84,0,18.33,1010.22,4,66.37,0.3218582776405013,0,1
205409,Delhi,2.77,0,16.76,1002.78,2,68.43,0.3221436025025018,0,1
924613,Pune,7.08,2,14.4,1013.59,0,67.77,0.3221689214396556,0,1
720407,Jaipur,0.15,6,19.08,1010.14,1,61.52,0.3225218135345383,0,1
447411,Kolkata,1.93,0,16.69,1010.88,0,70.56,0.3226992905368832,0,1
918213,Bengaluru,17.7,2,21.21,1008.69,0,67.89,0.3227100510919374,0,1
267475,Bengaluru,-1.15,0,17.02,1011.13,0,70.61,0.3229333916926747,0,1
200219,Bengaluru,-2.97,0,12.45,1010.94,1,69.69,0.3232910770534875,0,1
431246,Pune,-10.84,0,21.91,1011.44,0,70.79,0.3237728976025359,0,1
877991,Hyderabad,4.92,2,14.63,1011.12,0,68.23,0.3242416034361111,0,1
700076,Pune,-0.93,0,16.81,1008.56,1,69.91,0.3243182319487497,0,1
220116,Delhi,1.64,0,15.9,1008.36,0,70.94,0.324441898766802,0,1
186518,Kolkata,-4.23,0,14.56,1006.44,1,69.95,0.3244826804214267,0,1
351083,Pune,-15.52,0,12.71,1008.43,0,71.01,0.3247638792655727,0,1
573858,Lucknow,-1.2,0,12.69,1012.17,1,70.02,0.3248030673661571,0,1
191061,Kolkata,18.35,4,15.66,1010.18,0,65.71,0.3249080691204429,0,1
161437,Pune,13.7,1,12.32,1003.28,2,67.78,0.325243907824381,0,1
993744,Jaipur,8.97,0,12.0,1009.55,0,71.15,0.3254227841838298,0,1
579404,Lucknow,12.92,6,20.67,1005.48,0,63.2,0.3256625105529366,0,1
377312,Bengaluru,14.65,9,15.94,1010.77,0,59.22,0.3257288993284652,0,1
594514,Pune,-10.71,0,16.95,1008.72,0,71.3,0.3260944327136202,0,1
201414,Delhi,-0.09,3,18.06,1008.54,1,66.3,0.3261152267515915,0,1
536440,Jaipur,-19.69,3,11.53,1005.45,1,66.32,0.3261727931555767,0,1
366881,Lucknow,10.36,0,18.92,1008.01,0,71.36,0.3263979550058907,0,1
998602,Lucknow,4.33,3,11.53,1010.46,1,66.37,0.3264334547108541,0,1
356430,Jaipur,-13.28,0,10.82,1013.35,0,71.39,0.3265309585203432,0,1
940346,Hyderabad,13.19,0,15.63,1012.99,1,70.41,0.326593412759095,0,1
899787,Delhi,-11.27,0,13.44,1012.15,0,71.44,0.3267615438148412,0,1
387198,Hyderabad,-8.29,6,10.59,1004.32,0,63.48,0.3269263187611901,0,1
126691,Kolkata,6.66,7,11.55,1010.46,5,57.28,0.32753799691095,1,1
922974,Lucknow,-5.69,4,11.08,1005.89,0,66.29,0.327571612284201,0,1
786594,Lucknow,4.95,6,15.59,1008.54,0,63.65,0.3277028900843912,0,1
398151,Delhi,-5.21,5,15.61,1007.04,2,63.01,0.3278181880407663,0,1
710156,Delhi,-11.17,5,13.24,1011.42,2,63.02,0.3278790397779909,0,1
530794,Hyderabad,2.74,5,16.92,1009.55,0,65.03,0.3278963365774927,0,1
736408,Delhi,-14.22,0,14.01,1005.89,0,71.73,0.3280816095175357,0,1
371782,Jaipur,-3.23,0,16.87,1003.33,2,69.73,0.3280826485885545,0,1
443254,Delhi,5.47,2,21.63,1010.58,0,69.1,0.3282194394253299,0,1
790731,Bengaluru,-2.21,6,23.1,1010.65,0,63.77,0.3282689312744374,0,1
189814,Pune,15.14,7,18.96,1007.0,0,62.45,0.3283193683282147,0,1
166891,Delhi,14.87,1,18.62,1004.71,0,70.47,0.3283991907565322,0,1
248533,Kolkata,20.56,1,13.19,1013.39,0,70.58,0.328896409986693,0,1
626214,Hyderabad,8.95,0,18.97,1010.16,0,71.91,0.3289043323950522,0,1
747033,Chennai,0.17,0,14.82,1012.25,7,65.01,0.3293408457280599,0,1
132938,Hyderabad,13.43,0,15.18,1013.64,0,72.06,0.3295687183799521,0,1
995993,Jaipur,3.2,5,11.14,1006.96,4,61.41,0.3296726595723485,0,1
501936,Bengaluru,-9.29,4,21.07,1015.93,0,66.76,0.3297424778117347,0,1
742039,Lucknow,13.7,2,20.85,1010.01,2,67.49,0.3300099870095094,0,1
769077,Hyderabad,0.3,0,14.11,1006.68,0,72.18,0.330113774628031,0,1
364132,Hyderabad,1.64,0,14.13,1015.44,0,72.22,0.3303098032865126,0,1
507466,Pune,-1.55,6,22.58,1014.47,0,64.26,0.3305125137808929,0,1
949049,Delhi,1.13,1,12.58,1004.98,0,70.99,0.330798672813637,0,1
170260,Bengaluru,-13.92,0,17.73,1011.59,3,69.34,0.3308622627583611,0,1
126499,Hyderabad,1.59,2,15.63,1011.38,0,69.69,0.3309509654751296,0,1
646384,Bengaluru,9.03,5,13.86,1015.45,0,65.72,0.3310797109352468,0,1
134677,Kolkata,10.77,0,18.93,1011.19,0,72.4,0.3311410655242739,0,1
839808,Delhi,-3.77,2,19.95,1013.02,0,69.76,0.3312790010131042,0,1
869440,Hyderabad,11.84,0,13.9,1009.07,0,72.46,0.3314184199887304,0,1
463625,Delhi,4.63,0,19.75,1007.22,0,72.49,0.3315497733070983,0,1
822040,Bengaluru,16.96,6,19.82,1012.05,5,59.5,0.3315875103472207,1,1
869933,Hyderabad,-20.21,0,17.98,1012.22,0,72.51,0.3316150309151286,0,1
491435,Kolkata,0.05,0,13.76,1007.09,1,71.54,0.3317654646632332,0,1
753425,Hyderabad,1.69,2,16.7,1010.53,0,69.88,0.3317972608236721,0,1
728636,Hyderabad,-9.48,0,14.11,1010.87,0,72.58,0.3319573622351147,0,1
511612,Lucknow,-5.17,0,17.31,1006.26,2,70.59,0.3320239472497294,0,1
195966,Pune,-1.12,3,23.5,1009.05,1,67.6,0.3320717962107449,0,1
649753,Delhi,1.65,4,13.41,1006.8,0,67.3,0.3321969447302459,0,1
401036,Pune,20.26,5,18.66,1012.17,2,64.0,0.3323659834082517,0,1
384263,Hyderabad,0.19,2,15.07,1010.59,0,70.06,0.3326280004971941,0,1
733790,Jaipur,25.34,0,18.81,1004.08,4,68.73,0.3326385451062462,0,1
672133,Jaipur,8.37,0,15.15,1006.0,1,71.78,0.3328684277242216,0,1
345517,Jaipur,2.95,1,14.58,1011.07,4,67.46,0.3329368028362709,0,1
842411,Delhi,18.15,0,14.8,1010.57,0,72.81,0.3329889574638142,0,1
274971,Lucknow,8.72,0,15.77,1009.05,0,72.83,0.3330886751097801,0,1
909652,Bengaluru,6.77,0,17.35,1010.88,0,72.87,0.3332633384281974,0,1
797557,Delhi,11.48,0,16.92,1010.22,0,72.88,0.3333129480480454,0,1
971889,Bengaluru,-5.17,3,19.7,1013.96,2,66.89,0.3333761376793292,0,1
550246,Delhi,2.73,0,18.43,1012.79,0,72.91,0.3334476593472082,0,1
331087,Hyderabad,2.95,6,9.69,1011.68,3,61.96,0.3336762410528073,0,1
216506,Jaipur,-12.15,0,16.52,1010.76,0,72.97,0.333725654130962,0,1
801364,Kolkata,-0.24,11,16.22,1008.58,1,57.33,0.3338752466493019,0,1
982277,Delhi,-13.79,10,16.24,1007.32,0,59.7,0.3340109479091852,0,1
863934,Hyderabad,7.78,0,15.27,1013.91,1,72.08,0.3342253094710507,0,1
639728,Pune,-4.89,0,17.16,1010.62,1,72.08,0.3342543265579614,0,1
413433,Lucknow,10.15,3,13.75,1008.67,0,69.09,0.3342700731261181,0,1
242291,Jaipur,3.97,4,13.85,1012.34,0,67.76,0.3343063989543834,0,1
806309,Pune,4.2,2,15.49,1008.53,0,70.44,0.3343488546354715,0,1
980919,Hyderabad,7.46,3,11.62,1008.51,0,69.13,0.3344612652838336,0,1
145209,Bengaluru,-10.18,4,21.44,1012.6,0,67.82,0.3345836292028834,0,1
758015,Delhi,-1.66,5,17.72,1006.56,0,66.49,0.3346137120762799,0,1
908554,Jaipur,-0.62,0,14.16,1014.54,0,73.2,0.3348039518179829,0,1
269430,Hyderabad,6.68,4,19.28,1010.26,0,67.9,0.3349683949668893,0,1
605339,Pune,17.38,0,21.75,1013.15,1,72.33,0.3353730645667046,0,1
360221,Kolkata,12.73,4,13.11,1005.43,2,66.01,0.3354693002056632,0,1
650779,Delhi,1.0,0,16.36,1002.73,1,72.43,0.3358292481179248,0,1
421549,Bengaluru,-20.22,9,18.62,1006.81,0,61.47,0.3360271267769293,0,1
839945,Jaipur,-1.9,0,22.0,1005.44,3,70.47,0.3360317467396104,0,1
239850,Bengaluru,11.33,4,20.34,1008.98,0,68.16,0.3361267161368355,0,1
192422,Ahmedabad,2.32,9,15.46,1007.28,3,58.52,0.3362727562252259,1,1
681687,Lucknow,-7.69,7,17.23,1012.65,1,63.21,0.3363465865935039,0,1
233533,Delhi,-1.37,0,13.03,1014.92,0,73.55,0.3363768178772631,0,1
511776,Delhi,-18.57,8,16.32,1006.53,0,62.89,0.3364469984404541,0,1
934904,Hyderabad,4.36,0,15.37,1010.02,0,73.57,0.3364899181427229,0,1
232352,Pune,14.75,0,16.05,1011.6,0,73.57,0.3364958734716632,0,1
390743,Lucknow,26.2,0,18.89,1008.11,0,73.59,0.3365643046405001,0,1
178629,Hyderabad,18.74,0,10.4,1007.77,0,73.6,0.3366323744134107,0,1
410997,Kolkata,-2.61,3,9.4,1008.47,0,69.65,0.3368569110945605,0,1
249077,Jaipur,0.75,0,15.59,1012.77,0,73.65,0.3368571149360451,0,1
530074,Kolkata,5.22,6,13.07,1005.94,1,64.7,0.3370745917363497,0,1
561865,Lucknow,8.46,0,12.96,1007.78,0,73.71,0.3371033404418906,0,1
137432,Ahmedabad,5.65,6,17.93,1006.65,0,65.74,0.3372685430357521,0,1
615929,Hyderabad,-2.04,8,17.59,1007.61,3,60.1,0.3373659353487159,1,1
548965,Hyderabad,-11.79,8,14.27,1012.38,0,63.12,0.3374580245661692,0,1
453487,Bengaluru,-12.19,0,15.98,1009.74,2,71.78,0.3374622058106989,0,1
689318,Lucknow,16.1,0,15.63,1007.25,2,71.79,0.337481753557882,0,1
220675,Jaipur,7.27,5,12.44,1009.92,0,67.13,0.3375350017694866,0,1
232321,Pune,2.52,4,16.85,1013.85,0,68.48,0.3376089151121732,0,1
723945,Pune,15.01,0,19.53,1013.75,3,70.82,0.3376466196687833,0,1
764170,Lucknow,1.98,7,9.53,1011.09,1,63.52,0.3377969738922105,0,1
180832,Jaipur,6.0,4,13.22,1010.0,0,68.52,0.3377979457414495,0,1
311250,Pune,2.7,0,16.53,1013.18,0,73.86,0.3378031610997927,0,1
290167,Jaipur,-20.1,3,16.17,1008.74,3,66.91,0.3380339922763051,0,1
910389,Pune,-0.67,5,17.72,1010.44,4,63.26,0.3381186093508913,0,1
380061,Jaipur,1.78,4,13.35,1011.48,0,68.6,0.3381258899784046,0,1
556526,Jaipur,19.83,5,10.97,1008.13,1,66.3,0.3382812462809615,0,1
875959,Pune,1.08,0,18.82,1011.18,0,73.98,0.3383590343551077,0,1
160541,Pune,-0.97,0,14.51,1012.11,0,73.99,0.338405505345569,0,1
599687,Hyderabad,-12.27,0,20.48,1006.37,0,74.04,0.3386254569186521,0,1
427704,Lucknow,-4.02,0,13.54,1011.44,2,72.08,0.3388284076159115,0,1
676843,Bengaluru,-1.61,7,17.91,1011.34,2,62.75,0.3388370643311401,0,1
943737,Jaipur,-10.55,2,19.81,1009.7,1,70.45,0.3389649029992704,0,1
938141,Pune,8.26,1,18.17,1012.95,3,69.79,0.3389996643580396,0,1
718975,Delhi,7.12,6,16.57,1012.66,0,66.13,0.3390364455524787,0,1
534037,Bengaluru,-7.9,4,21.64,1010.57,2,66.86,0.3393417902676729,0,1
963918,Hyderabad,-13.67,0,15.07,1012.65,0,74.21,0.3394140175874203,0,1
336817,Lucknow,24.74,2,15.71,1009.67,0,71.55,0.339444106785997,0,1
182289,Hyderabad,5.37,0,16.89,1011.12,0,74.23,0.3394828739801087,0,1
111949,Hyderabad,-8.92,0,14.43,1012.89,2,72.23,0.339496647629796,0,1
334026,Bengaluru,-4.39,3,18.84,1005.83,0,70.25,0.3395825062320718,0,1
913308,Hyderabad,4.67,0,15.72,1013.42,0,74.28,0.3397492807584267,0,1
592296,Delhi,-6.42,0,16.08,1013.67,0,74.33,0.3399429936498095,0,1
986982,Lucknow,4.35,4,17.54,1010.85,0,69.05,0.3401956004880305,0,1
990731,Lucknow,10.8,0,13.45,1008.97,2,72.42,0.3403762911449422,0,1
197627,Jaipur,-5.32,7,15.58,1008.76,0,65.14,0.340632006279462,0,1
954017,Jaipur,11.72,2,17.85,1002.12,1,70.82,0.3406576254071474,0,1
329471,Bengaluru,-2.28,0,12.7,1011.77,1,73.53,0.3408659679693853,0,1
722774,Hyderabad,4.68,0,18.42,1008.22,1,73.53,0.340898634924739,0,1
791691,Bengaluru,-6.42,9,19.8,1012.86,1,61.54,0.3409288602396875,0,1
619013,Lucknow,9.21,1,12.27,1007.18,0,73.22,0.3409746588058638,0,1
